date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
14.04.2018,2018,scotland,championship-2017-2018,Dunfermline,Brechin,1.17,7.56,16.33,1.44,2.67,2.2,1.68,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dunfermline-brechin-CCe4IW9E/#1X2;2,1,4,0
14.10.2017,2017,scotland,championship-2017-2018,Livingston,Dundee Utd,3.51,3.38,2.13,2.12,1.80,1.84,1.9,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/livingston-dundee-utd-GSCLTpe1/#1X2;2,1,2,0
09.09.2017,2017,scotland,championship-2017-2018,Brechin,Falkirk,5.99,4.36,1.51,1.62,2.32,1.77,2.15,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/brechin-falkirk-fLQVQNNM/#1X2;2,0,2,1
28.10.2017,2017,scotland,championship-2017-2018,Queen of South,Falkirk,2.33,3.26,3.13,2.09,1.76,1.76,2.04,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/queen-of-south-falkirk-6Lc5Ty1I/#1X2;2,1,6,1
19.08.2017,2017,scotland,championship-2017-2018,Inverness,Morton,2.26,3.37,3.2,2.10,1.76,1.89,2.0,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/inverness-morton-zBAdCO8T/#1X2;2,0,2,1
16.12.2017,2017,scotland,championship-2017-2018,St. Mirren,Dunfermline,2.14,3.56,3.34,1.85,1.98,1.63,2.2,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/st-mirren-dunfermline-xbXV0kMj/#1X2;2,1,1,0
28.10.2017,2017,scotland,championship-2017-2018,Dumbarton,Dundee Utd,4.86,3.89,1.67,1.75,2.10,1.69,2.13,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dumbarton-dundee-utd-xtAhWwHa/#1X2;2,2,2,0
21.04.2018,2018,scotland,championship-2017-2018,Livingston,Brechin,1.09,10.28,23.23,1.38,2.88,2.53,1.52,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/livingston-brechin-dIhj9SW0/#1X2;2,1,3,0
05.05.2018,2018,scotland,championship-2017-2018,Raith,Alloa,1.61,4.06,5.49,1.85,1.98,1.79,1.92,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/raith-alloa-naTOgs0c/#1X2;2,2,3,1
07.04.2018,2018,scotland,championship-2017-2018,Dumbarton,Dundee Utd,6.46,4.29,1.5,1.80,2.04,1.9,1.91,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dumbarton-dundee-utd-AmB5cVXl/#1X2;2,1,5,1
30.09.2017,2017,scotland,championship-2017-2018,St. Mirren,Brechin,1.27,5.84,10.25,1.47,2.64,1.86,1.95,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/st-mirren-brechin-QcYtyT2R/#1X2;2,1,3,1
14.10.2017,2017,scotland,championship-2017-2018,Brechin,Morton,6.5,4.41,1.47,1.74,2.14,1.88,1.92,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/brechin-morton-S6K8WnBr/#1X2;2,2,1,0
16.12.2017,2017,scotland,championship-2017-2018,Inverness,Dumbarton,1.62,3.86,5.91,2.04,1.79,2.01,1.81,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/inverness-dumbarton-SOsd7iqN/#1X2;2,1,1,0
02.12.2017,2017,scotland,championship-2017-2018,Queen of South,Inverness,2.52,3.32,2.8,1.97,1.85,1.69,2.08,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/queen-of-south-inverness-ELHMhhUT/#1X2;2,0,0,0
16.09.2017,2017,scotland,championship-2017-2018,Dumbarton,Brechin,2.02,3.74,3.49,1.77,2.08,1.63,2.21,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dumbarton-brechin-OzyiSXJd/#1X2;2,1,3,1
05.08.2017,2017,scotland,championship-2017-2018,Livingston,Dunfermline,2.82,3.36,2.5,1.97,1.85,1.77,2.13,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/livingston-dunfermline-hGjECX2C/#1X2;2,0,2,1
23.09.2017,2017,scotland,championship-2017-2018,Dumbarton,Inverness,4.39,3.65,1.83,1.80,2.04,1.71,2.1,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dumbarton-inverness-ObJwJTtq/#1X2;2,1,3,1
25.11.2017,2017,scotland,championship-2017-2018,Brechin,Dundee Utd,9.81,5.51,1.3,1.63,2.28,2.07,1.76,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/brechin-dundee-utd-ID6d0IVu/#1X2;2,0,2,1
30.09.2017,2017,scotland,championship-2017-2018,Dunfermline,Dundee Utd,2.27,3.51,2.99,1.82,2.01,1.66,2.24,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dunfermline-dundee-utd-M5yQvB32/#1X2;2,2,4,1
05.05.2018,2018,scotland,championship-2017-2018,Dumbarton,Arbroath,2.76,3.42,2.51,1.77,2.05,1.61,2.23,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dumbarton-arbroath-YePKfNpi/#1X2;2,0,2,1
12.08.2017,2017,scotland,championship-2017-2018,Brechin,Livingston,7.87,4.61,1.4,1.81,2.00,2.2,1.72,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/brechin-livingston-0KdUI8Po/#1X2;2,0,4,1
03.04.2018,2018,scotland,championship-2017-2018,Queen of South,Falkirk,2.72,3.4,2.56,1.88,2.00,1.66,2.19,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/queen-of-south-falkirk-vPKHwysG/#1X2;2,0,4,1
20.03.2018,2018,scotland,championship-2017-2018,Dundee Utd,Queen of South,1.78,3.71,4.45,1.80,2.02,1.72,2.1,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dundee-utd-queen-of-south-2uNpyrLH/#1X2;2,2,5,1
10.04.2018,2018,scotland,championship-2017-2018,Dundee Utd,St. Mirren,2.77,3.31,2.56,2.01,1.81,1.75,2.07,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/dundee-utd-st-mirren-AqT0sJsi/#1X2;2,1,1,0
28.04.2018,2018,scotland,championship-2017-2018,Morton,Inverness,3.28,3.55,2.07,1.75,2.06,1.62,2.28,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/morton-inverness-dxDFBLha/#1X2;2,2,3,0
02.05.2018,2018,scotland,championship-2017-2018,Alloa,Raith,3.56,3.2,2.19,2.28,1.63,1.94,1.83,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/alloa-raith-WjoxWw8j/#1X2;2,1,2,0
21.04.2018,2018,scotland,championship-2017-2018,St. Mirren,Morton,1.89,3.69,3.98,1.80,2.08,1.71,2.12,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/st-mirren-morton-hpna761D/#1X2;2,1,3,1
23.09.2017,2017,scotland,championship-2017-2018,Falkirk,Livingston,2.38,3.26,3.06,2.01,1.83,1.71,2.13,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/falkirk-livingston-UBlvH7Be/#1X2;2,2,2,0
25.11.2017,2017,scotland,championship-2017-2018,Falkirk,Morton,2.42,3.29,2.85,1.90,1.93,1.67,2.16,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/falkirk-morton-QwA4bd0h/#1X2;2,2,3,0
07.04.2018,2018,scotland,championship-2017-2018,Livingston,Morton,2.01,3.51,3.68,1.98,1.85,1.8,1.99,https://www.oddsportal.com/soccer/scotland/championship-2017-2018/livingston-morton-IDEDe921/#1X2;2,1,5,1
