date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
25.03.2018,2018,portugal,ligapro-2017-2018,Covilha,Braga B,2.38,2.83,3.28,2.62,1.43,2.26,1.63,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-braga-G8YqQFgi/#1X2;2,1,1,0
25.02.2018,2018,portugal,ligapro-2017-2018,Leixoes,U. Madeira,1.71,3.48,5.45,2.25,1.66,2.12,1.71,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-u-madeira-65F3dpZg/#1X2;2,2,1,0
06.08.2017,2017,portugal,ligapro-2017-2018,FC Porto B,Gil Vicente,1.88,3.32,4.33,2.02,1.82,1.9,1.98,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-gil-vicente-KvdlgPVa/#1X2;2,2,3,1
25.02.2018,2018,portugal,ligapro-2017-2018,Santa Clara,Gil Vicente,1.51,3.76,7.67,2.56,1.50,2.68,1.48,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-gil-vicente-E7zP3StK/#1X2;2,1,3,1
29.04.2018,2018,portugal,ligapro-2017-2018,Famalicao,U. Madeira,2.51,3.21,2.84,2.04,1.80,1.75,2.08,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-u-madeira-Snz5w5uq/#1X2;2,2,3,1
07.04.2018,2018,portugal,ligapro-2017-2018,Famalicao,Gil Vicente,2.0,3.37,3.79,2.25,1.65,1.96,1.8,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-gil-vicente-Ugm3HKNm/#1X2;2,1,2,0
10.02.2018,2018,portugal,ligapro-2017-2018,Penafiel,Varzim,1.96,3.1,4.18,2.40,1.54,2.17,1.69,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/penafiel-varzim-p8ponufk/#1X2;2,2,5,1
29.10.2017,2017,portugal,ligapro-2017-2018,Sporting B,Leixoes,2.51,3.27,2.81,1.80,2.05,1.57,2.23,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/sporting-lisbon-leixoes-Sz2mDauM/#1X2;2,0,2,1
25.11.2017,2017,portugal,ligapro-2017-2018,Nacional,U. Madeira,1.75,3.39,5.14,2.11,1.73,2.0,1.81,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/nacional-u-madeira-hK03zTxm/#1X2;2,1,3,1
22.04.2018,2018,portugal,ligapro-2017-2018,Gil Vicente,Nacional,3.97,3.61,1.87,1.78,2.09,1.66,2.17,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-nacional-IyJi6F3B/#1X2;2,0,0,0
05.11.2017,2017,portugal,ligapro-2017-2018,Benfica B,Penafiel,2.14,3.49,3.29,1.77,2.07,1.63,2.23,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/benfica-penafiel-bq4DHEW7/#1X2;2,2,7,1
20.08.2017,2017,portugal,ligapro-2017-2018,Real SC,Sporting B,2.44,3.25,2.87,1.88,1.95,1.73,2.1,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/real-sc-sporting-lisbon-pdKpN3pt/#1X2;2,2,3,1
11.04.2018,2018,portugal,ligapro-2017-2018,Vitoria Guimaraes B,Penafiel,2.96,3.08,2.32,1.99,1.76,1.83,2.0,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/vitoria-guimaraes-penafiel-b7zXuJk6/#1X2;2,0,2,1
