date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
13.08.2017,2017,portugal,ligapro-2017-2018,Leixoes,Varzim,1.81,2.97,4.59,2.29,1.64,2.1,1.73,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/leixoes-varzim-YsMN7Opg/#1X2;2,1,3,1
11.04.2018,2018,portugal,ligapro-2017-2018,Real SC,Covilha,2.16,3.12,3.41,2.31,1.62,1.98,1.84,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/real-sc-covilha-QampkNSJ/#1X2;2,1,3,0
07.04.2018,2018,portugal,ligapro-2017-2018,Oliveirense,Sporting B,1.63,3.96,5.12,1.77,2.08,1.77,2.05,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-sporting-lisbon-ld34Fbh0/#1X2;2,1,6,1
21.12.2017,2017,portugal,ligapro-2017-2018,Covilha,Gil Vicente,2.17,3.05,3.68,2.48,1.53,2.13,1.73,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/covilha-gil-vicente-Sf2inogd/#1X2;2,1,3,0
29.04.2018,2018,portugal,ligapro-2017-2018,Oliveirense,Santa Clara,3.15,3.06,2.25,2.06,1.78,1.77,1.99,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-santa-clara-6wZ8xPfk/#1X2;2,2,3,1
18.03.2018,2018,portugal,ligapro-2017-2018,FC Porto B,Covilha,2.31,3.03,3.13,2.30,1.62,1.94,1.86,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-covilha-GjJrE90d/#1X2;2,1,3,0
31.03.2018,2018,portugal,ligapro-2017-2018,Gil Vicente,Penafiel,3.04,3.1,2.35,2.26,1.71,1.91,1.91,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/gil-vicente-penafiel-2R1kTu60/#1X2;2,1,3,1
03.12.2017,2017,portugal,ligapro-2017-2018,Academica,Famalicao,1.9,3.34,4.27,2.06,1.80,1.87,1.93,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/academica-famalicao-SdeSUO6O/#1X2;2,0,2,1
03.12.2017,2017,portugal,ligapro-2017-2018,U. Madeira,Academico Viseu,2.79,2.93,2.76,2.45,1.55,2.0,1.75,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/u-madeira-academico-viseu-8jDzZzJu/#1X2;2,1,8,1
19.08.2017,2017,portugal,ligapro-2017-2018,Oliveirense,Nacional,2.79,3.2,2.54,2.15,1.73,1.87,2.01,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-nacional-KYE9HaEH/#1X2;2,2,2,0
06.05.2018,2018,portugal,ligapro-2017-2018,Santa Clara,Real SC,1.26,5.47,11.78,1.80,2.02,2.41,1.58,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/santa-clara-real-sc-hWE3b6H8/#1X2;2,1,3,0
24.02.2018,2018,portugal,ligapro-2017-2018,Oliveirense,Braga B,2.2,3.17,3.35,2.22,1.66,1.93,1.86,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/oliveirense-braga-8AmwtPlD/#1X2;2,2,5,1
24.02.2018,2018,portugal,ligapro-2017-2018,Famalicao,Covilha,2.1,2.99,3.99,2.29,1.59,2.08,1.74,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/famalicao-covilha-zHyL48RD/#1X2;2,1,1,0
22.10.2017,2017,portugal,ligapro-2017-2018,FC Porto B,Varzim,2.28,3.2,3.06,1.91,1.93,1.65,2.15,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-varzim-pbX9atBM/#1X2;2,1,3,0
11.03.2018,2018,portugal,ligapro-2017-2018,FC Porto B,Academico Viseu,2.98,3.18,2.33,2.05,1.80,1.76,2.04,https://www.oddsportal.com/soccer/portugal/ligapro-2017-2018/fc-porto-academico-viseu-Wp0R7YwN/#1X2;2,2,1,0
