date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
06.03.2021,2021,north-macedonia,2-mfl,Pobeda,Sloga Vinica,2.19,3.03,3.24,1.82,1.89,1.6,2.09,https://www.oddsportal.com/soccer/north-macedonia/2-mfl/pobeda-sloga-vinica-fJXQuF85/
06.03.2021,2021,germany,bundesliga,Bayern Munich,Dortmund,1.6,4.82,5.19,1.30,3.49,1.38,3.04,https://www.oddsportal.com/soccer/germany/bundesliga/bayern-munich-dortmund-G2e2uNAO/
06.03.2021,2021,lithuania,a-lyga,Dainava Alytus,Nevezis Kedainiai,3.65,3.32,1.96,2.16,1.68,1.92,1.81,https://www.oddsportal.com/soccer/lithuania/a-lyga/dainava-alytus-nevezis-kedainiai-dxL7JllL/
06.03.2021,2021,poland,iii-liga-group-ii,Swinoujscie,Sroda,6.63,4.97,1.35,1.40,2.68,1.58,2.23,https://www.oddsportal.com/soccer/poland/iii-liga-group-ii/swinoujscie-polonia-sroda-wielkopol-drbTe4lg/
06.03.2021,2021,cyprus,division-2,Alki Oroklini,Chloraka,1.82,3.43,3.83,1.79,1.96,1.69,2.05,https://www.oddsportal.com/soccer/cyprus/division-2/alki-oroklini-akritas-chloraka-f1fp5EUm/
06.03.2021,2021,france,division-1-women,Reims W,Paris FC W,5.59,3.98,1.52,1.95,1.84,2.0,1.76,https://www.oddsportal.com/soccer/france/division-1-women/reims-paris-fc-fkbukbwg/
06.03.2021,2021,italy,serie-a,Juventus,Lazio,1.88,3.87,4.27,1.70,2.28,1.6,2.34,https://www.oddsportal.com/soccer/italy/serie-a/juventus-lazio-AXrOjS1T/
06.03.2021,2021,england,national-league,Wealdstone,FC Halifax,3.56,3.81,1.91,1.62,2.29,1.57,2.3,https://www.oddsportal.com/soccer/england/national-league/wealdstone-halifax-IcEiQR11/
06.03.2021,2021,brazil,copa-do-nordeste,Treze PB,AE Altos,3.13,3.03,2.28,2.40,1.54,2.01,1.75,https://www.oddsportal.com/soccer/brazil/copa-do-nordeste/treze-pb-ae-altos-l4ccAXHS/
06.03.2021,2021,sweden,svenska-cupen,Orebro,Sirius,2.43,3.4,2.87,1.84,2.00,1.66,2.18,https://www.oddsportal.com/soccer/sweden/svenska-cupen/orebro-sirius-2aDX8WKe/
06.03.2021,2021,iran,persian-gulf-pro-league,Shahr Khodrou,Paykan,2.17,2.65,4.15,3.07,1.33,2.52,1.48,https://www.oddsportal.com/soccer/iran/persian-gulf-pro-league/shahr-khodrou-paykan-8MNNIt5T/
06.03.2021,2021,bosnia-and-herzegovina,premier-league,FK Sarajevo,Zrinjski,1.86,3.07,4.56,2.27,1.60,2.04,1.72,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league/fk-sarajevo-zrinjski-bJteghLM/
06.03.2021,2021,brazil,campeonato-paulista-a2,Agua Santa,EC Sao Bernardo,1.55,3.63,5.92,2.13,1.69,2.09,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-paulista-a2/agua-santa-ec-sao-bernardo-URpoH8o0/
06.03.2021,2021,spain,segunda-division-b-group-4,Cadiz CF B,Algeciras,2.87,2.71,2.76,2.72,1.41,2.18,1.63,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-4/cadiz-algeciras-vTvukbiN/
06.03.2021,2021,poland,division-2,Elblag,Suwalki,3.12,3.35,2.14,1.94,1.85,1.75,2.0,https://www.oddsportal.com/soccer/poland/division-2/elblag-suwalki-jeKrnSIi/
06.03.2021,2021,sweden,svenska-cupen,Vasteras SK,GAIS,1.78,3.82,4.32,1.78,2.08,1.73,2.07,https://www.oddsportal.com/soccer/sweden/svenska-cupen/vasteras-sk-gais-QDtoi7gg/
06.03.2021,2021,england,national-league,Sutton,Wrexham,2.09,3.39,3.43,2.03,1.79,1.82,1.93,https://www.oddsportal.com/soccer/england/national-league/sutton-wrexham-jLwGXORH/
06.03.2021,2021,bulgaria,parva-liga,Arda,Cherno More,2.23,3.18,3.15,2.24,1.63,1.94,1.8,https://www.oddsportal.com/soccer/bulgaria/parva-liga/arda-cherno-more-vaNdamJG/
06.03.2021,2021,india,i-league,Indian Arrows,Neroca FC,7.38,4.59,1.37,1.65,2.09,1.92,1.81,https://www.oddsportal.com/soccer/india/i-league/indian-arrows-neroca-rXJMgNO1/
