date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
03.03.2021,2021,japan,ybc-levain-cup,FC Tokyo,Tokushima,1.82,3.56,4.3,2.00,1.83,1.86,1.91,https://www.oddsportal.com/soccer/japan/ybc-levain-cup/fc-tokyo-tokushima-MoJ0uac0
03.03.2021,2021,ukraine,ukrainian-cup,Dyn. Kyiv,Kolos Kovalivka,1.33,5.29,8.99,1.65,2.27,2.04,1.74,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/dynamo-kyiv-kolos-kovalivka-4xFOXh1S
03.03.2021,2021,greece,super-league-2,AO Trikala,Panachaiki,3.04,3.09,2.3,2.31,1.60,1.91,1.8,https://www.oddsportal.com/soccer/greece/super-league-2/ao-trikala-panachaiki-re0xOYnk
03.03.2021,2021,brazil,campeonato-catarinense,Gremio Juventus,Hercilio Luz,2.09,3.32,3.32,2.01,1.79,1.7,2.05,https://www.oddsportal.com/soccer/brazil/campeonato-catarinense/gremio-juventus-hercilio-luz-hx8EfcAE
03.03.2021,2021,england,professional-development-league,Sheffield Utd U23,Sheffield Wed U23,1.6,4.25,4.28,1.39,2.73,1.43,2.55,https://www.oddsportal.com/soccer/england/professional-development-league/sheffield-utd-sheffield-wed-lIl3Tzpe
03.03.2021,2021,brazil,campeonato-goiano,Paterna,Silla CF,2.69,3.1,2.55,2.05,1.78,1.78,1.92,https://www.oddsportal.com/soccer/brazil/campeonato-goiano/anapolis-itumbiara-jLHksZBm
03.03.2021,2021,colombia,primera-b,Cartagena,Boca Juniors,2.21,2.75,3.84,2.54,1.47,2.15,1.66,https://www.oddsportal.com/soccer/colombia/primera-b/cartagena-boca-juniors-de-cali-vFc4ajWd
03.03.2021,2021,brazil,campeonato-goiano,Goias,Goianesia,2.02,3.37,3.52,2.12,1.74,1.87,1.83,https://www.oddsportal.com/soccer/brazil/campeonato-goiano/goias-goianesia-prHgtgRg
03.03.2021,2021,thailand,thai-league-2,Sisaket,Kasetsart,2.2,3.22,3.15,1.88,1.90,1.61,2.17,https://www.oddsportal.com/soccer/thailand/thai-league-2/sisaket-kasetsart-2FmxnQea
03.03.2021,2021,netherlands,eerste-divisie,Almere City,FC Volendam,2.26,3.76,2.89,1.65,2.29,1.55,2.4,https://www.oddsportal.com/soccer/netherlands/eerste-divisie/almere-city-fc-volendam-8IoEU7zk
03.03.2021,2021,serbia,super-liga,Radnik,Novi Pazar,1.75,3.58,4.3,1.98,1.80,1.91,1.83,https://www.oddsportal.com/soccer/serbia/super-liga/radnik-surdulica-novi-pazar-UBjcfG9s
03.03.2021,2021,switzerland,super-league,Basel,Young Boys,6.76,4.83,1.44,1.55,2.46,1.73,2.08,https://www.oddsportal.com/soccer/switzerland/super-league/basel-young-boys-pGjwDGi9
03.03.2021,2021,italy,serie-a,Cagliari,Bologna,2.6,3.24,2.94,1.87,1.99,1.65,2.23,https://www.oddsportal.com/soccer/italy/serie-a/cagliari-bologna-GWEMrD3h
03.03.2021,2021,luxembourg,national-division,Benfica,Hostert,2.38,3.66,2.53,1.50,2.36,1.44,2.52,https://www.oddsportal.com/soccer/luxembourg/national-division/benfica-hostert-48NrD1Cp
03.03.2021,2021,greece,greek-cup,Lamia,PAOK,6.93,4.39,1.45,1.86,1.97,2.01,1.76,https://www.oddsportal.com/soccer/greece/greek-cup/lamia-paok-dv2Zhdoq
03.03.2021,2021,ukraine,ukrainian-cup,Ahrobiznes Volochysk,Shakhtar Donetsk,8.41,5.48,1.32,1.53,2.48,1.86,1.9,https://www.oddsportal.com/soccer/ukraine/ukrainian-cup/ahrobiznes-volochysk-shakhtar-UJMBzeH9
03.03.2021,2021,austria,ofb-cup,Sporting W,Braga W,2.13,3.42,2.97,1.57,2.38,1.72,2.08,https://www.oddsportal.com/soccer/austria/ofb-cup/sturm-graz-salzburg-6XL0Y6zo
03.03.2021,2021,portugal,liga-portugal-2,Penafiel,Oliveirense,2.0,3.29,3.82,2.27,1.66,1.99,1.78,https://www.oddsportal.com/soccer/portugal/liga-portugal-2/penafiel-oliveirense-d6SfuPve
03.03.2021,2021,luxembourg,national-division,Racing Luxembourg,Jeunesse Esch,2.36,3.6,2.59,1.58,2.31,1.48,2.45,https://www.oddsportal.com/soccer/luxembourg/national-division/racing-luxembourg-jeunesse-esch-A5EYZOJc
03.03.2021,2021,thailand,thai-league-2,Khonkaen FC,Uthai Thani,1.96,3.28,3.73,1.87,1.91,1.61,2.12,https://www.oddsportal.com/soccer/thailand/thai-league-2/khonkaen-fc-uthai-thani-th77WpdC
03.03.2021,2021,poland,polish-cup,Legia,Piast Gliwice,1.66,3.82,4.85,1.87,1.95,1.83,1.92,https://www.oddsportal.com/soccer/poland/polish-cup/legia-piast-gliwice-ppMlLXOH
03.03.2021,2021,honduras,liga-nacional,Real de Minas,Motagua,6.7,4.82,1.37,1.49,2.40,1.72,2.02,https://www.oddsportal.com/soccer/honduras/liga-nacional/real-de-minas-motagua-xKQO57xL
03.03.2021,2021,brazil,campeonato-mineiro,Coimbra,Patrocinense,2.15,3.14,3.45,2.53,1.54,2.07,1.69,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/coimbra-esporte-clube-patrocinense-zogUpgOm
03.03.2021,2021,turkey,3-lig-group-2,Yomraspor,Fethiyespor,3.1,2.97,2.32,2.33,1.57,1.96,1.79,https://www.oddsportal.com/soccer/turkey/3-lig-group-2/yomraspor-fethiyespor-QmaQ7LKo
03.03.2021,2021,brazil,campeonato-goiano,Jaragua,Ipora,1.9,3.29,3.97,2.28,1.61,2.03,1.73,https://www.oddsportal.com/soccer/brazil/campeonato-goiano/jaragua-ipora-xIDorFds
03.03.2021,2021,belgium,belgian-cup,Eupen,Gent,3.65,3.71,1.96,1.83,2.03,1.71,2.09,https://www.oddsportal.com/soccer/belgium/belgian-cup/eupen-gent-Yot6xmZH
03.03.2021,2021,spain,tercera-division-group-12,Vera,Union Guimar,1.55,3.94,5.15,1.74,2.05,1.71,2.01,https://www.oddsportal.com/soccer/spain/tercera-division-group-12/vera-cd-atletico-union-guimar-U9Tec9VA
03.03.2021,2021,italy,serie-c-group-b,Virtus Verona,Padova,3.41,3.03,2.19,2.21,1.66,1.89,1.84,https://www.oddsportal.com/soccer/italy/serie-c-group-b/virtus-verona-padova-QBib32h4
03.03.2021,2021,turkey,3-lig-group-1,ECU Joondalup (Aus),Cockburn City (Aus),1.41,4.9,5.65,2.11,1.70,1.93,1.81,https://www.oddsportal.com/soccer/turkey/3-lig-group-1/alemdag-manisaspor-S6EdkUBm
03.03.2021,2021,brazil,campeonato-maranhense,SE Juventude,Sampaio Correa,5.08,4.39,1.5,1.45,2.58,1.54,2.24,https://www.oddsportal.com/soccer/brazil/campeonato-maranhense/se-juventude-sampaio-correa-8hlOgfWB
03.03.2021,2021,germany,regionalliga-sudwest,Ulm,RW Koblenz,1.33,5.09,7.74,1.53,2.38,1.8,1.94,https://www.oddsportal.com/soccer/germany/regionalliga-sudwest/ulm-rot-weiss-koblenz-bkFz1MzN
03.03.2021,2021,zambia,super-league,Lusaka Dynamos,Forest Rangers,2.05,2.82,3.82,2.70,1.40,2.17,1.62,https://www.oddsportal.com/soccer/zambia/super-league/lusaka-dynamos-forest-rangers-AcvTKECI
03.03.2021,2021,israel,ligat-ha-al,Kiryat Shmona,H. Beer Sheva,3.52,3.23,2.09,2.21,1.67,1.89,1.85,https://www.oddsportal.com/soccer/israel/ligat-ha-al/shmona-h-beer-sheva-tvIAgZ8e
03.03.2021,2021,switzerland,super-league,Vaduz,Lausanne,2.93,3.43,2.42,2.02,1.86,1.76,2.03,https://www.oddsportal.com/soccer/switzerland/super-league/vaduz-lausanne-WQ7cbBw9
03.03.2021,2021,colombia,primera-b,Leones,Llaneros,2.05,2.87,4.2,2.46,1.53,2.11,1.68,https://www.oddsportal.com/soccer/colombia/primera-b/leones-llaneros-8fkLe8VL
03.03.2021,2021,brazil,campeonato-goiano,Jataiense,Gremio Anapolis,4.05,3.54,1.81,2.00,1.80,1.83,1.9,https://www.oddsportal.com/soccer/brazil/campeonato-goiano/jataiense-gremio-anapolis-dKaHasSE
03.03.2021,2021,japan,j1-league,Nagoya Grampus,Gamba Osaka,2.12,3.49,3.42,2.05,1.81,1.83,1.95,https://www.oddsportal.com/soccer/japan/j1-league/nagoya-grampus-gamba-osaka-Aq5VqEtn
03.03.2021,2021,spain,segunda-division-b-group-4,Yeclano,Lorca Deportiva,2.19,3.42,3.09,1.91,1.90,1.71,2.04,https://www.oddsportal.com/soccer/spain/segunda-division-b-group-4/yeclano-lorca-deportiva-U9Ly1J28
03.03.2021,2021,italy,serie-d-group-f,S. N. Notaresco,US Tolentino,1.61,3.85,4.89,1.82,1.99,1.8,1.9,https://www.oddsportal.com/soccer/italy/serie-d-group-f/s-n-notaresco-us-tolentino-WtMAnFRD
03.03.2021,2021,guatemala,liga-nacional,Coban Imperial,Sacachispas,1.63,3.71,4.85,1.94,1.84,1.85,1.84,https://www.oddsportal.com/soccer/guatemala/liga-nacional/coban-imperial-sacachispas-I7H4JlzK
03.03.2021,2021,hungary,merkantil-bank-liga,Pecsi MFC,Haladas,2.08,3.38,3.22,1.96,1.83,1.73,2.03,https://www.oddsportal.com/soccer/hungary/merkantil-bank-liga/pecsi-mfc-haladas-l0N3S8FA
03.03.2021,2021,russia,youth-league,Konoplev Academy U19,Rubin Kazan U19,18.25,8.95,1.09,1.34,3.01,2.47,1.52,https://www.oddsportal.com/soccer/russia/youth-league/konoplev-academy-rubin-kazan-CIQFCHTb
03.03.2021,2021,spain,tercera-division-group-6,Borec,Belasica,1.41,4.32,5.95,2.25,1.61,1.9,1.81,https://www.oddsportal.com/soccer/spain/tercera-division-group-6/jove-crevillente-6N6JODM4
03.03.2021,2021,italy,serie-a,Fiorentina,AS Roma,3.83,3.59,2.05,1.83,2.07,1.67,2.19,https://www.oddsportal.com/soccer/italy/serie-a/fiorentina-as-roma-IeBwuV2H
03.03.2021,2021,thailand,thai-league-1,Suphanburi,Samut Prakan City,2.69,3.42,2.42,1.80,2.00,1.63,2.14,https://www.oddsportal.com/soccer/thailand/thai-league-1/suphanburi-fc-samut-prakan-city-nsMFMtFo
03.03.2021,2021,brazil,campeonato-mineiro,URT,Uberlandia,3.02,3.09,2.39,2.48,1.56,2.03,1.72,https://www.oddsportal.com/soccer/brazil/campeonato-mineiro/urt-uberlandia-EyhYqDwf
03.03.2021,2021,guatemala,liga-nacional,Malacateco,Antigua,2.42,3.32,2.68,2.00,1.80,1.7,2.05,https://www.oddsportal.com/soccer/guatemala/liga-nacional/malacateco-antigua-KjYzC6Sg
03.03.2021,2021,italy,serie-c-group-b,Bayswater (Aus),Armadale (Aus),2.71,3.88,2.14,2.05,1.77,2.05,1.71,https://www.oddsportal.com/soccer/italy/serie-c-group-b/sudtirol-fano-0jJV1kHa
03.03.2021,2021,costa-rica,primera-division,Cartagines,ADR Jicaral,2.05,3.31,3.55,1.95,1.84,1.76,1.99,https://www.oddsportal.com/soccer/costa-rica/primera-division/cartagines-adr-jicaral-Q1Kg6yxR
03.03.2021,2021,greece,super-league-2,Levadiakos,Karaiskakis,1.38,4.23,7.87,2.11,1.72,2.37,1.53,https://www.oddsportal.com/soccer/greece/super-league-2/levadiakos-karaiskakis-Gtl0sNmA
03.03.2021,2021,romania,romanian-cup,U. Cluj,Viitorul Tg. Jiu,2.09,3.27,3.52,2.28,1.63,1.95,1.79,https://www.oddsportal.com/soccer/romania/romanian-cup/universitatea-cluj-viitorul-targu-jiu-d45lqjKE
03.03.2021,2021,france,ligue-1,Metz,Angers,2.58,3.1,3.06,2.59,1.52,2.13,1.7,https://www.oddsportal.com/soccer/france/ligue-1/metz-angers-SzCMYQ8P
03.03.2021,2021,italy,serie-c-group-a,AlbinoLeffe,Lucchese,1.93,3.39,3.77,2.18,1.68,1.94,1.79,https://www.oddsportal.com/soccer/italy/serie-c-group-a/albinoleffe-lucchese-SvO5IFoe
03.03.2021,2021,south-africa,premier-league,Golden Arrows,Baroka,2.14,2.82,3.89,2.35,1.58,1.98,1.77,https://www.oddsportal.com/soccer/south-africa/premier-league/golden-arrows-baroka-W4U22x7t
