date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
25.02.2021,2021,kosovo,superliga,FC Besa,Arberia,4.58,3.58,1.68,2.05,1.74,2.0,1.75,https://www.oddsportal.com/soccer/kosovo/superliga/fc-besa-arberia-xlAwAGOp
25.02.2021,2021,portugal,campeonato-de-portugal,Aljustrelense,Pinhalnovense,3.37,3.17,2.08,2.15,1.63,1.9,1.84,https://www.oddsportal.com/soccer/portugal/campeonato-de-portugal/aljustrelense-pinhalnovense-2cU712VJ
25.02.2021,2021,portugal,liga-revelacao-u23,Rio Ave U23,Benfica U23,3.86,3.77,1.77,1.62,2.28,1.61,2.17,https://www.oddsportal.com/soccer/portugal/liga-revelacao-u23/rio-ave-benfica-GtnjYKwc
25.02.2021,2021,europe,europa-league,Napoli,Granada CF,1.6,4.17,5.97,1.69,2.25,1.73,2.1,https://www.oddsportal.com/soccer/europe/europa-league/napoli-granada-cf-r9XFoc9r
25.02.2021,2021,brazil,campeonato-piauiense,Flamengo PI,Parnahyba,4.4,3.97,1.63,2.18,1.64,2.11,1.67,https://www.oddsportal.com/soccer/brazil/campeonato-piauiense/flamengo-pi-parnahyba-dMpqn37G
25.02.2021,2021,france,coupe-de-france,Romorantin,Mtsapere,1.09,11.38,20.94,1.15,5.07,1.77,2.01,https://www.oddsportal.com/soccer/france/coupe-de-france/romorantin-mtsapere-d66Ijyr3
25.02.2021,2021,australia,w-league,WS Wanderers W,Melbourne City W,3.82,3.81,1.78,1.52,2.37,1.53,2.35,https://www.oddsportal.com/soccer/australia/w-league/western-sydney-wanderers-melbourne-city-fVHcAXUp
25.02.2021,2021,europe,europa-league,PSV,Olympiacos Piraeus,2.03,3.83,3.6,1.67,2.29,1.59,2.35,https://www.oddsportal.com/soccer/europe/europa-league/psv-olympiacos-piraeus-Aqicbzgl
25.02.2021,2021,turkey,3-lig-group-2,Iskenderun,Darica Genclerbirligi,3.12,3.09,2.26,2.37,1.55,2.0,1.75,https://www.oddsportal.com/soccer/turkey/3-lig-group-2/iskenderun-darica-genclerbirligi-Wpt3jKkB
25.02.2021,2021,united-arab-emirates,uae-league,Al Wasl,Al Wahda,2.64,3.69,2.35,1.54,2.33,1.49,2.48,https://www.oddsportal.com/soccer/united-arab-emirates/uae-league/al-wasl-al-wahda-8WUFBJoE
25.02.2021,2021,europe,europa-league,Hoffenheim,Molde,1.28,6.64,9.79,1.31,3.35,1.66,2.21,https://www.oddsportal.com/soccer/europe/europa-league/hoffenheim-molde-veHI5I0E
25.02.2021,2021,turkey,3-lig-group-4,Kelkit,Adiyamanspor,2.02,3.06,3.77,2.43,1.54,2.04,1.72,https://www.oddsportal.com/soccer/turkey/3-lig-group-4/kelkit-bld-adiyamanspor-Ol0C2fWD
25.02.2021,2021,europe,europa-league,Manchester Utd,Real Sociedad,2.05,3.8,3.64,1.74,2.21,1.61,2.3,https://www.oddsportal.com/soccer/europe/europa-league/manchester-united-real-sociedad-GMVNqyve
25.02.2021,2021,europe,europa-league,Shakhtar Donetsk,Maccabi Tel Aviv,1.7,3.68,5.82,1.98,1.88,1.89,1.9,https://www.oddsportal.com/soccer/europe/europa-league/shakhtar-maccabi-tel-aviv-IRmyguH8
25.02.2021,2021,colombia,primera-a,Jaguares de Cordoba,Pereira,2.19,2.97,3.68,2.30,1.63,2.01,1.75,https://www.oddsportal.com/soccer/colombia/primera-a/jaguares-de-cordoba-dep-pereira-G8OwMTf6
25.02.2021,2021,colombia,primera-a,Once Caldas,Dep. Pasto,2.67,2.74,3.07,2.33,1.62,1.95,1.8,https://www.oddsportal.com/soccer/colombia/primera-a/once-caldas-dep-pasto-ju6VRJrP
25.02.2021,2021,united-arab-emirates,uae-league,Al Dhafra,Al Ain,3.82,3.9,1.78,1.57,2.35,1.55,2.32,https://www.oddsportal.com/soccer/united-arab-emirates/uae-league/al-dhafra-al-ain-K6YJAw1K
25.02.2021,2021,turkey,3-lig-group-3,Cizrespor,Karsiyaka,4.09,3.38,1.76,2.05,1.68,1.93,1.77,https://www.oddsportal.com/soccer/turkey/3-lig-group-3/cizrespor-karsiyaka-jFjFMqbQ
25.02.2021,2021,nigeria,npfl,Adamawa Utd,Lobi Stars,3.15,2.83,2.34,2.88,1.36,2.33,1.56,https://www.oddsportal.com/soccer/nigeria/npfl/adamawa-utd-lobi-rsH0zNDI
25.02.2021,2021,egypt,premier-league,Al Ittihad,Wadi Degla,1.97,2.74,4.88,2.30,1.61,2.02,1.74,https://www.oddsportal.com/soccer/egypt/premier-league/al-ittihad-alexandria-wadi-degla-rmhhJutr
25.02.2021,2021,azerbaijan,premier-league,Gabala,Sumqayit,2.2,3.18,3.19,1.93,1.86,1.7,2.04,https://www.oddsportal.com/soccer/azerbaijan/premier-league/gabala-sumqayit-fk-jelQxocl
25.02.2021,2021,turkey,3-lig-group-3,Catalca,Soma Spor,3.25,3.13,2.18,2.37,1.56,2.0,1.74,https://www.oddsportal.com/soccer/turkey/3-lig-group-3/catalca-spor-soma-spor-tp9OaMjD
25.02.2021,2021,ghana,premier-league,Asante Kotoko,Bechem United,1.49,3.88,5.97,2.03,1.76,2.09,1.69,https://www.oddsportal.com/soccer/ghana/premier-league/asante-kotoko-bechem-united-bZC2pfki
25.02.2021,2021,europe,europa-league,Bayer Leverkusen,Young Boys,1.61,4.65,5.07,1.41,2.90,1.5,2.58,https://www.oddsportal.com/soccer/europe/europa-league/bayer-leverkusen-young-boys-0A5R3dVQ
25.02.2021,2021,colombia,primera-a,Petrolera,Deportes Tolima,3.84,3.08,2.05,2.23,1.65,1.94,1.8,https://www.oddsportal.com/soccer/colombia/primera-a/petrolera-deportes-tolima-faNsLmAC
25.02.2021,2021,slovenia,prva-liga,Koper,Mura,3.11,3.3,2.19,2.10,1.72,1.84,1.89,https://www.oddsportal.com/soccer/slovenia/prva-liga/koper-mura-Gx4Vj4Ep
25.02.2021,2021,spain,tercera-division-group-7,Moratalaz,Rayo Vallecano B,2.25,3.13,3.05,2.26,1.60,1.87,1.83,https://www.oddsportal.com/soccer/spain/tercera-division-group-7/moratalaz-rayo-vallecano-n9YVbFvF
25.02.2021,2021,qatar,division-2,Shamal,Al Bidda,1.75,3.69,3.94,1.89,1.89,1.79,1.9,https://www.oddsportal.com/soccer/qatar/division-2/shamal-al-bidda-vc8swpNb
25.02.2021,2021,armenia,armenian-cup,Pyunik Yerevan,Urartu,2.05,3.29,3.37,2.16,1.66,1.89,1.85,https://www.oddsportal.com/soccer/armenia/armenian-cup/pyunik-yerevan-urartu-2aJ5124h
25.02.2021,2021,europe,europa-league,Ajax,Lille,2.02,3.7,3.72,1.75,2.15,1.64,2.25,https://www.oddsportal.com/soccer/europe/europa-league/ajax-lille-p0SE6wUA
25.02.2021,2021,ethiopia,premier-league,Sidama Bunna,Welayta Dicha,2.63,2.97,2.55,2.15,1.64,1.82,1.92,https://www.oddsportal.com/soccer/ethiopia/premier-league/sidama-bunna-welayta-dicha-2VRWzc2g
25.02.2021,2021,nigeria,npfl,Katsina Utd,MFM FC,1.76,3.49,3.94,2.19,1.60,2.0,1.73,https://www.oddsportal.com/soccer/nigeria/npfl/katsina-utd-mfm-fc-0IRey3bC
25.02.2021,2021,burundi,primus-league,Bujumbura C.,Rukinzo,3.84,3.34,1.9,2.19,1.68,1.95,1.75,https://www.oddsportal.com/soccer/burundi/primus-league/bujumbura-city-rukinzo-U9JMsFyf
25.02.2021,2021,argentina,copa-argentina,Huracan,Sportivo Estudiantes,1.25,5.78,11.44,1.66,2.25,2.25,1.62,https://www.oddsportal.com/soccer/argentina/copa-argentina/huracan-sportivo-estudiantes-pvHVan6T
25.02.2021,2021,turkey,3-lig-group-4,Modafenspor,Kirikkale Buyuk,3.16,3.04,2.26,2.52,1.51,2.08,1.69,https://www.oddsportal.com/soccer/turkey/3-lig-group-4/modafenspor-kirikkale-buyuk-anadolu-spor-AoCUwBgD
25.02.2021,2021,azerbaijan,premier-league,Sabah Baku,Keshla,2.26,3.23,2.99,2.11,1.72,1.82,1.91,https://www.oddsportal.com/soccer/azerbaijan/premier-league/sabah-baku-keshla-8WrVy5Cf
25.02.2021,2021,thailand,thai-league-1,Rayong FC,Pathum United,11.85,6.64,1.18,1.39,2.79,1.91,1.82,https://www.oddsportal.com/soccer/thailand/thai-league-1/rayong-fc-pathum-united-YJyH5lvf
25.02.2021,2021,thailand,thai-league-1,Bangkok Utd,Chonburi,1.52,4.23,5.33,1.63,2.27,1.69,2.08,https://www.oddsportal.com/soccer/thailand/thai-league-1/bangkok-utd-chonburi-jeWL48g0
25.02.2021,2021,europe,europa-league,Leicester,Slavia Prague,1.56,4.19,6.55,1.84,2.03,1.87,1.92,https://www.oddsportal.com/soccer/europe/europa-league/leicester-slavia-prague-MaKnn9rd
25.02.2021,2021,spain,tercera-division-group-14,RCP Valverdeno,Olivenza,2.9,3.1,2.36,2.10,1.71,1.76,1.96,https://www.oddsportal.com/soccer/spain/tercera-division-group-14/rcp-valverdeno-olivenza-fc-Qmg7QEue
25.02.2021,2021,tunisia,ligue-professionnelle-1,Stade Tunisien,Monastir,2.79,2.87,2.64,2.73,1.40,2.2,1.62,https://www.oddsportal.com/soccer/tunisia/ligue-professionnelle-1/stade-tunisien-monastir-KCshIJrt
25.02.2021,2021,palestine,west-bank-league,Al Khaleel,Thaqafi Tulkarem,1.2,6.24,10.51,1.35,2.94,1.74,1.98,https://www.oddsportal.com/soccer/palestine/west-bank-league/shabab-al-khaleel-thaqafi-tulkarem-6qYO8fQB
25.02.2021,2021,morocco,botola-pro,Raja Casablanca,IR Tanger,1.61,3.68,5.18,2.06,1.74,2.01,1.74,https://www.oddsportal.com/soccer/morocco/botola-pro/raja-casablanca-ir-tanger-rXydTAHo
25.02.2021,2021,mexico,liga-de-expansion-mx,Leones Negros,Atlante,3.19,2.77,2.49,2.54,1.50,2.09,1.69,https://www.oddsportal.com/soccer/mexico/liga-de-expansion-mx/leones-negros-atlante-jT9dKVwh
25.02.2021,2021,europe,europa-league,AC Milan,FK Crvena zvezda,1.5,4.66,6.82,1.71,2.22,1.87,1.92,https://www.oddsportal.com/soccer/europe/europa-league/ac-milan-crvena-zvezda-6Bp6dEN0
25.02.2021,2021,bangladesh,premier-league,Brothers U.,Sheikh Jamal,11.75,5.55,1.23,1.52,2.34,1.92,1.81,https://www.oddsportal.com/soccer/bangladesh/premier-league/brothers-u-sheikh-jamal-6RYBlscC
25.02.2021,2021,turkey,3-lig-group-3,Erokspor,Altindag Bld.,1.48,4.06,5.97,1.90,1.88,1.95,1.79,https://www.oddsportal.com/soccer/turkey/3-lig-group-3/erokspor-altindag-belediyespor-dhiBNPrK
25.02.2021,2021,ghana,premier-league,Dreams,Ashanti,1.71,3.34,4.8,2.42,1.53,2.19,1.61,https://www.oddsportal.com/soccer/ghana/premier-league/dreams-fc-ashanti-Kl1BrYJ3
25.02.2021,2021,turkey,3-lig-group-1,Manisaspor,1928 Bucaspor,8.26,4.92,1.3,1.63,2.20,1.96,1.79,https://www.oddsportal.com/soccer/turkey/3-lig-group-1/manisaspor-1928-bucaspor-K0iVY8R6
25.02.2021,2021,ethiopia,premier-league,Dire Dawa,Hawassa,2.93,3.18,2.24,2.27,1.56,1.97,1.78,https://www.oddsportal.com/soccer/ethiopia/premier-league/dire-dawa-hawassa-EmvrYfnC
25.02.2021,2021,spain,tercera-division-group-17,Sabinanigo,Epila,2.99,3.21,2.25,2.15,1.68,1.8,1.9,https://www.oddsportal.com/soccer/spain/tercera-division-group-17/sabinanigo-epila-QPUHWPQA
25.02.2021,2021,brazil,campeonato-catarinense,Metropolitano,Figueirense,4.72,3.66,1.67,2.00,1.78,1.92,1.82,https://www.oddsportal.com/soccer/brazil/campeonato-catarinense/ca-metropolitano-figueirense-0M70U0d9
