date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
01.03.2021,2021,belgium,jupiler-league,Leuven,Antwerp,3.57,3.67,2.0,1.74,2.14,1.64,2.22,https://www.oddsportal.com/soccer/belgium/jupiler-league/leuven-antwerp-63AqO2b9
01.03.2021,2021,india,i-league,Neroca FC,Punjab,4.29,3.67,1.73,1.69,2.14,1.65,2.14,https://www.oddsportal.com/soccer/india/i-league/neroca-punjab-tfjYxuCC
01.03.2021,2021,brazil,campeonato-cearense,Pacajus,Guarany,1.75,3.48,4.31,2.11,1.70,1.95,1.79,https://www.oddsportal.com/soccer/brazil/campeonato-cearense/pacajus-guarany-UTgnzOYp
01.03.2021,2021,kenya,premier-league,Zoo,Wazito,4.85,3.47,1.68,2.19,1.65,2.05,1.71,https://www.oddsportal.com/soccer/kenya/premier-league/zoo-fc-wazito-0tf7GblO
01.03.2021,2021,iran,persian-gulf-pro-league,Machine Sazi,Shahr Khodrou,3.2,2.89,2.36,2.57,1.45,2.08,1.69,https://www.oddsportal.com/soccer/iran/persian-gulf-pro-league/machine-sazi-tabriz-shahr-khodrou-2s2P9oMb
01.03.2021,2021,portugal,primeira-liga,Moreirense,Belenenses,2.71,2.91,2.97,2.63,1.52,2.09,1.72,https://www.oddsportal.com/soccer/portugal/primeira-liga/moreirense-belenenses-Gb94SH7s
01.03.2021,2021,armenia,premier-league,Ararat Yerevan,Van,1.34,4.44,8.78,2.19,1.65,2.63,1.44,https://www.oddsportal.com/soccer/armenia/premier-league/ararat-yerevan-van-27JZVzCI
01.03.2021,2021,bosnia-and-herzegovina,premier-league,Zeljeznicar,FK Sarajevo,2.42,3.34,2.65,1.84,1.95,1.64,2.12,https://www.oddsportal.com/soccer/bosnia-and-herzegovina/premier-league/zeljeznicar-fk-sarajevo-63SoczMc
01.03.2021,2021,iran,persian-gulf-pro-league,Paykan,Sanat Naft,2.68,2.77,2.85,2.93,1.36,2.28,1.56,https://www.oddsportal.com/soccer/iran/persian-gulf-pro-league/paykan-sanat-naft-lblo5NzU
01.03.2021,2021,germany,3-liga,Mannheim,Bayern II,2.75,3.36,2.46,1.88,1.96,1.67,2.11,https://www.oddsportal.com/soccer/germany/3-liga/mannheim-bayern-695a1MBd
01.03.2021,2021,netherlands,eerste-divisie,Breda,Oss,1.49,4.56,6.06,1.62,2.36,1.73,2.07,https://www.oddsportal.com/soccer/netherlands/eerste-divisie/breda-fc-oss-dbjj3StE
01.03.2021,2021,netherlands,eerste-divisie,Excelsior,Jong Ajax,2.21,3.68,3.04,1.37,3.01,1.34,3.16,https://www.oddsportal.com/soccer/netherlands/eerste-divisie/excelsior-jong-ajax-jLRoh2YC
01.03.2021,2021,brazil,campeonato-paulista-a2,Portuguesa Santista,Portuguesa,3.57,3.19,2.03,2.34,1.57,2.02,1.72,https://www.oddsportal.com/soccer/brazil/campeonato-paulista-a2/portuguesa-santista-portuguesa-nqTf6iXs
01.03.2021,2021,spain,laliga2,Mirandes,Malaga,2.35,2.98,3.51,2.78,1.44,2.25,1.63,https://www.oddsportal.com/soccer/spain/laliga2/mirandes-malaga-00G3qyEh
01.03.2021,2021,italy,serie-b,Venezia,Reggiana,1.67,3.61,5.74,2.00,1.88,1.9,1.88,https://www.oddsportal.com/soccer/italy/serie-b/unione-venezia-reggiana-l05v6Uub
01.03.2021,2021,greece,super-league,Volos,Olympiacos Piraeus,8.81,4.85,1.34,1.84,2.00,2.17,1.65,https://www.oddsportal.com/soccer/greece/super-league/volos-olympiacos-piraeus-WEPVirZo
01.03.2021,2021,argentina,copa-de-la-liga-profesional,Union de Santa Fe,Lanus,3.23,3.36,2.28,2.12,1.79,1.83,1.97,https://www.oddsportal.com/soccer/argentina/copa-de-la-liga-profesional/union-de-santa-fe-lanus-j5qM4ekK
01.03.2021,2021,slovenia,prva-liga,Aluminij,Koper,2.91,3.1,2.42,2.22,1.64,1.89,1.85,https://www.oddsportal.com/soccer/slovenia/prva-liga/aluminij-koper-GS0HE76i
01.03.2021,2021,turkey,1-lig,Menemenspor,Boluspor,2.47,2.98,3.02,2.12,1.74,1.82,1.94,https://www.oddsportal.com/soccer/turkey/1-lig/menemenspor-boluspor-rRCxHEEU
01.03.2021,2021,iran,persian-gulf-pro-league,Mes Rafsanjan,Esteghlal F.C.,4.22,3.0,1.95,2.68,1.42,2.26,1.58,https://www.oddsportal.com/soccer/iran/persian-gulf-pro-league/mes-rafsanjan-esteghlal-teh-KIdU85y5
01.03.2021,2021,italy,primavera-1,Bologna U19,Torino U19,2.04,3.65,3.08,1.61,2.26,1.52,2.36,https://www.oddsportal.com/soccer/italy/primavera-1/bologna-torino-jkyJVrNc
01.03.2021,2021,brazil,campeonato-cearense,Barbalha,Caucaia,5.94,4.52,1.44,1.56,2.25,1.81,1.93,https://www.oddsportal.com/soccer/brazil/campeonato-cearense/barbalha-caucaia-Kf4CtQeH
01.03.2021,2021,turkey,1-lig,Tuzlaspor,Adanaspor AS,1.82,3.44,4.34,2.21,1.68,2.02,1.75,https://www.oddsportal.com/soccer/turkey/1-lig/tuzlaspor-adanaspor-as-4zEYHfaO
