date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
02.03.2021,2021,uganda,premier-league,UPDF,URA SC,2.33,3.21,2.74,2.18,1.57,1.92,1.82,https://www.oddsportal.com/soccer/uganda/premier-league/updf-fc-uganda-revenue-vXCT1H2c
02.03.2021,2021,italy,serie-b,Cittadella,Pescara,1.67,3.82,5.32,2.02,1.86,1.94,1.84,https://www.oddsportal.com/soccer/italy/serie-b/cittadella-pescara-0vTmq7Yp
02.03.2021,2021,israel,leumit-league,Hapoel Iksal Imad,Nof Hagalil,2.59,3.13,2.69,2.25,1.66,1.92,1.83,https://www.oddsportal.com/soccer/israel/leumit-league/hapoel-iksal-imad-nof-hagalil-QXYEiRuf
02.03.2021,2021,england,league-one,Wigan,Charlton,3.44,3.56,2.14,1.94,1.93,1.75,2.03,https://www.oddsportal.com/soccer/england/league-one/wigan-charlton-CMvsPdGm
02.03.2021,2021,italy,serie-b,Lecce,Entella,1.62,3.92,5.6,1.89,1.98,1.89,1.89,https://www.oddsportal.com/soccer/italy/serie-b/lecce-entella-AFgm48AA
02.03.2021,2021,morocco,coupe-du-trone,Rapide Oued Zem,Wydad,5.22,3.14,1.74,2.33,1.58,2.14,1.65,https://www.oddsportal.com/soccer/morocco/coupe-du-trone/rapide-oued-zem-wydad-Sd34hrua
02.03.2021,2021,england,professional-development-league,Millwall U23,Swansea U23,1.51,4.3,4.95,1.42,2.63,1.5,2.37,https://www.oddsportal.com/soccer/england/professional-development-league/millwall-swansea-fF37udet
02.03.2021,2021,england,league-two,Cheltenham,Southend,1.63,3.72,5.88,2.07,1.78,2.04,1.74,https://www.oddsportal.com/soccer/england/league-two/cheltenham-southend-YF9DiAbh
02.03.2021,2021,poland,polish-cup,Lech Poznan,Rakow,1.93,3.41,3.92,1.77,2.08,1.63,2.2,https://www.oddsportal.com/soccer/poland/polish-cup/lech-poznan-rakow-czestochowa-6gNpMD9B
02.03.2021,2021,england,championship,Reading,Blackburn,2.36,3.36,3.12,2.11,1.78,1.83,1.95,https://www.oddsportal.com/soccer/england/championship/reading-blackburn-AwzUJBmq
02.03.2021,2021,austria,2-liga,Horn,A. Klagenfurt,3.58,3.45,2.04,1.51,2.49,1.46,2.66,https://www.oddsportal.com/soccer/austria/2-liga/horn-a-klagenfurt-zT5Lzle6
02.03.2021,2021,germany,dfb-pokal,Regensburg,Werder Bremen,4.45,3.84,1.77,1.89,2.01,1.8,2.01,https://www.oddsportal.com/soccer/germany/dfb-pokal/regensburg-werder-bremen-A7wewrsm
02.03.2021,2021,france,ligue-2,Amiens,Auxerre,3.08,3.11,2.49,2.44,1.59,2.0,1.79,https://www.oddsportal.com/soccer/france/ligue-2/amiens-sc-auxerre-Ayw4Y0zn
02.03.2021,2021,france,ligue-2,Niort,Sochaux,3.02,3.18,2.49,2.32,1.65,1.95,1.83,https://www.oddsportal.com/soccer/france/ligue-2/niort-sochaux-SxNXRGJT
02.03.2021,2021,israel,liga-alef-south,Maccabi Yavne,Agudat Sport Ashdod,2.86,3.02,2.47,2.49,1.54,2.06,1.68,https://www.oddsportal.com/soccer/israel/liga-alef-south/maccabi-yavne-agudat-sport-ashdod-Eud8Tblr
02.03.2021,2021,iran,division-1,Kheybar Khorramabad,Khooshe Talaee,2.25,2.92,3.34,2.60,1.44,2.13,1.64,https://www.oddsportal.com/soccer/iran/division-1/kheybar-khorramabad-khoosheh-talai-OQZhYtMD
02.03.2021,2021,switzerland,challenge-league,Aarau,Thun,2.33,3.59,2.86,1.64,2.29,1.53,2.42,https://www.oddsportal.com/soccer/switzerland/challenge-league/aarau-thun-rRry0qWA
02.03.2021,2021,switzerland,challenge-league,Schaffhausen,Kriens,1.69,3.71,5.06,1.80,2.05,1.76,2.01,https://www.oddsportal.com/soccer/switzerland/challenge-league/schaffhausen-kriens-UssqbN0N
02.03.2021,2021,england,professional-development-league,QPR U23,Watford U23,2.01,3.86,3.01,1.47,2.55,1.43,2.6,https://www.oddsportal.com/soccer/england/professional-development-league/qpr-watford-pprCREE7
02.03.2021,2021,israel,leumit-league,Nes Tziona,H. Raanana,1.97,3.15,3.88,2.26,1.61,1.98,1.76,https://www.oddsportal.com/soccer/israel/leumit-league/nes-tziona-h-raanana-r9TJjoe0
02.03.2021,2021,france,ligue-2,Pau FC,Chateauroux,2.29,3.27,3.24,2.26,1.68,1.93,1.83,https://www.oddsportal.com/soccer/france/ligue-2/pau-chateauroux-4zWCWv5b
02.03.2021,2021,england,premier-league,Manchester City,Wolves,1.22,6.64,15.97,1.75,2.16,2.62,1.49,https://www.oddsportal.com/soccer/england/premier-league/manchester-city-wolves-df6dlevJ
